"title","duration_value","duration_unit"
"Dick Johnson Is Dead","90","min"
"Blood & Water","2","Seasons"
"Ganglands","1","Season"
"Jailbirds New Orleans","1","Season"
"Kota Factory","2","Seasons"
"Midnight Mass","1","Season"
"My Little Pony: A New Generation","91","min"
"Sankofa","125","min"
"The Great British Baking Show","9","Seasons"
"The Starling","104","min"
"Vendetta: Truth, Lies and The Mafia","1","Season"
"Bangkok Breaking","1","Season"
"Je Suis Karl","127","min"
"Confessions of an Invisible Girl","91","min"
"Crime Stories: India Detectives","1","Season"
"Dear White People","4","Seasons"
"Europe's Most Dangerous Man: Otto Skorzeny in Spain","67","min"
"Falsa identidad","2","Seasons"
"Intrusion","94","min"
"Jaguar","1","Season"
"Monsters Inside: The 24 Faces of Billy Milligan","1","Season"
"Resurrection: Ertugrul","5","Seasons"
"Avvai Shanmughi","161","min"
"Go! Go! Cory Carson: Chrissy Takes the Wheel","61","min"
"Jeans","166","min"
"Love on the Spectrum","2","Seasons"
"Minsara Kanavu","147","min"
"Grown Ups","103","min"
"Dark Skies","97","min"
"Paranoia","106","min"
"Ankahi Kahaniya","111","min"
"Chicago Party Aunt","1","Season"
"Sex Education","3","Seasons"
"Squid Game","1","Season"
"Tayo and Little Wizards","1","Season"
"The Father Who Moves Mountains","110","min"
"The Stronghold","105","min"
"Angry Birds","1","Season"
"Birth of the Dragon","96","min"
"Chhota Bheem","3","Seasons"
"He-Man and the Masters of the Universe","1","Season"
"Jaws","124","min"
"Jaws 2","116","min"
"Jaws 3","98","min"
"Jaws: The Revenge","91","min"
"My Heroes Were Cowboys","23","min"
"Safe House","115","min"
"The Smart Money Woman","1","Season"
"Training Day","122","min"
"Castle and Castle","2","Seasons"
"Dharmakshetra","1","Season"
"InuYasha the Movie 2: The Castle Beyond the Looking Glass","99","min"
"InuYasha the Movie 3: Swords of an Honorable Ruler","99","min"
"InuYasha the Movie 4: Fire on the Mystic Island","88","min"
"InuYasha the Movie: Affections Touching Across Time","100","min"
"Nailed It","6","Seasons"
"Naruto Shippuden the Movie: Blood Prison","102","min"
"Naruto Shippûden the Movie: Bonds","93","min"
"Naruto Shippûden the Movie: The Will of Fire","96","min"
"Naruto Shippuden: The Movie","95","min"
"Naruto Shippuden: The Movie: The Lost Tower","85","min"
"Naruto the Movie 2: Legend of the Stone of Gelel","97","min"
"Naruto the Movie 3: Guardians of the Crescent Moon Kingdom","95","min"
"Naruto the Movie: Ninja Clash in the Land of Snow","83","min"
"Nightbooks","103","min"
"Numberblocks","6","Seasons"
"Raja Rasoi Aur Anya Kahaniyan","1","Season"
"Saved by the Bell","9","Seasons"
"Schumacher","113","min"
"Stories by Rabindranath Tagore","1","Season"
"Too Hot To Handle: Latino","1","Season"
"A StoryBots Space Adventure","13","min"
"Jack Whitehall: Travels with My Father","5","Seasons"
"King of Boys","182","min"
"The World's Most Amazing Vacation Rentals","2","Seasons"
"You vs. Wild: Out Cold","106","min"
"Yowamushi Pedal","1","Season"
"Little Singham - Black Shadow","48","min"
"Tughlaq Durbar","145","min"
"Tughlaq Durbar (Telugu)","145","min"
"Firedrake the Silver Dragon","93","min"
"Kate","106","min"
"Lucifer","6","Seasons"
"Metal Shop Masters","1","Season"
"Omo Ghetto: the Saga","147","min"
"Pokémon Master Journeys: The Series","1","Season"
"Prey","87","min"
"Titipo Titipo","2","Seasons"
"Blood Brothers: Malcolm X & Muhammad Ali","96","min"
"Mighty Raju","4","Seasons"
"Paradise Hills","95","min"
"The Women and the Murderer","92","min"
"Into the Night","2","Seasons"
"JJ+E","91","min"
"Show Dogs","90","min"
"The Circle","3","Seasons"
"If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd","97","min"
"Kid Cosmic","2","Seasons"
"Octonauts: Above & Beyond","1","Season"
"On the Verge","1","Season"
"Tobot Galaxy Detectives","2","Seasons"
"Untold: Breaking Point","80","min"
"Countdown: Inspiration4 Mission to Space","1","Season"
"Shadow Parties","117","min"
"Tayo the Little Bus","2","Seasons"
"Angamaly Diaries","128","min"
"Bunk'd","5","Seasons"
"A Champion Heart","90","min"
"Dive Club","1","Season"
"La casa de papel","5","Seasons"
"Money Heist: From Tokyo to Berlin","1","Season"
"Sharkdog","1","Season"
"Worth","119","min"
"Afterlife of the Party","110","min"
"Anjaam","143","min"
"Bright Star","119","min"
"Dhanak","114","min"
"Final Account","94","min"
"Gurgaon","106","min"
"Here and There","99","min"
"Heroes of Goo Jit Zu","1","Season"
"Hotel Del Luna","1","Season"
"In the Cut","118","min"
"Luv Kushh","1","Season"
"Pororo - The Little Penguin","3","Seasons"
"Q-Force","1","Season"
"Shikara","115","min"
"A Cinderella Story","95","min"
"Agatha Christie's Crooked House","115","min"
"An Unfinished Life","108","min"
"Barbie Big City Big Dreams","63","min"
"Blade Runner: The Final Cut","117","min"
"Brave Animated Series","1","Season"
"Chappie","121","min"
"Clear and Present Danger","142","min"
"Cliffhanger","113","min"
"Cold Mountain","154","min"
"Crocodile Dundee in Los Angeles","95","min"
"Dear John","108","min"
"Do the Right Thing","120","min"
"El patrón, radiografía de un crimen","100","min"
"Extraction","82","min"
"Freedom Writers","124","min"
"Green Lantern","114","min"
"House Party","104","min"
"House Party 2","94","min"
"House Party 3","94","min"
"How to Be a Cowboy","1","Season"
"HQ Barbers","1","Season"
"I Got the Hook Up","93","min"
"In Too Deep","97","min"
"Initial D","109","min"
"Janoskians: Untold and Untrue","88","min"
"Kid-E-Cats","2","Seasons"
"Kuroko's Basketball","3","Seasons"
"Labyrinth","101","min"
"Letters to Juliet","105","min"
"Level 16","102","min"
"Love Don't Cost a Thing","101","min"
"Love in a Puff","103","min"
"Major Dad","4","Seasons"
"Mars Attacks!","106","min"
"Marshall","118","min"
"My Boss's Daughter","86","min"
"Mystery Men","121","min"
"Oldsters","1","Season"
"Once Upon a Time in America","229","min"
"Open Season 2","76","min"
"Osmosis Jones","95","min"
"Poseidon","98","min"
"Rhyme & Reason","89","min"
"Same Kind of Different as Me","120","min"
"School of Rock","110","min"
"Snervous Tyler Oakley","83","min"
"Tears of the Sun","121","min"
"The Blue Lagoon","105","min"
"The Golden Child","94","min"
"The Guns of Navarone","156","min"
"The Interview","112","min"
"The Nutty Professor","95","min"
"The Nutty Professor II: The Klumps","107","min"
"Turning Point: 9/11 and the War on Terror","1","Season"
"Welcome Home Roscoe Jenkins","114","min"
"In the Line of Fire","129","min"
"Sparking Joy","1","Season"
"Untold: Crime & Penalties","86","min"
"Hometown Cha-Cha-Cha","1","Season"
"The Ingenuity of the Househusband","1","Season"
"2 Alone in Paris","97","min"
"Bread Barbershop","2","Seasons"
"Thimmarusu","125","min"
"Wind River","107","min"
"C Kkompany","127","min"
"D.P.","1","Season"
"Deadly Sins","1","Season"
"EMI: Liya Hai To Chukana Padega","128","min"
"He's All That","92","min"
"I Heart Arlo","1","Season"
"King of Boys: The Return of the King","1","Season"
"Koi Aap Sa","135","min"
"Krishna Cottage","124","min"
"Kucch To Hai","136","min"
"Kyaa Kool Hai Hum","165","min"
"Kyaa Kool Hain Hum 3","124","min"
"Kyaa Super Kool Hain Hum","136","min"
"Kyo Kii... Main Jhuth Nahin Bolta","150","min"
"LSD: Love, Sex Aur Dhokha","112","min"
"Mission Istaanbul: Darr Ke Aagey Jeet Hai","119","min"
"Once Upon a Time in Mumbaai","133","min"
"Once Upon a Time in Mumbai Dobaara!","142","min"
"Ragini MMS","93","min"
"Ragini MMS 2","113","min"
"Rebellion","2","Seasons"
"RIDE ON TIME","3","Seasons"
"SAS: Rise of the Black Swan","124","min"
"Shootout at Lokhandwala","116","min"
"Shor In the City","106","min"
"The Dirty Picture","145","min"
"Titletown High","1","Season"
"EDENS ZERO","1","Season"
"Family Reunion","4","Seasons"
"Bob Ross: Happy Accidents, Betrayal & Greed","93","min"
"Clickbait","1","Season"
"John of God: The Crimes of a Spiritual Healer","1","Season"
"Motel Makeover","1","Season"
"Open Your Eyes","1","Season"
"Post Mortem: No One Dies in Skarnes","1","Season"
"Really Love","95","min"
"The November Man","108","min"
"The Old Ways","90","min"
"The River Runner","86","min"
"The Water Man","92","min"
"Wheel of Fortune","3","Seasons"
"Count Me In","82","min"
"Oggy Oggy","1","Season"
"Untold: Caitlyn Jenner","70","min"
"Boomika","122","min"
"Boomika (Hindi)","122","min"
"Boomika (Malayalam)","122","min"
"Boomika (Telugu)","122","min"
"The Witcher: Nightmare of the Wolf","84","min"
"Manifest","3","Seasons"
"Comedy Premium League","1","Season"
"Everything Will Be Fine","1","Season"
"Gunshot","96","min"
"Korean Cold Noodle Rhapsody","1","Season"
"Man in Love","115","min"
"Sweet Girl","110","min"
"The Chair","1","Season"
"The Loud House Movie","88","min"
"A Faraway Land","102","min"
"Like Crazy","91","min"
"Black Island","105","min"
"Bombay","135","min"
"Go! Go! Cory Carson","5","Seasons"
"Memories of a Murderer: The Nilsen Tapes","86","min"
"Nneka The Pretty Serpent","140","min"
"O Kadhal Kanmani","133","min"
"Out of my league","92","min"
"Pahuna","82","min"
"The Defeated","1","Season"
"The Secret Diary of an Exchange Student","97","min"
"Untold: Deal With the Devil","78","min"
"Mother Goose Club","2","Seasons"
"Walk of Shame","94","min"
"Rascal Does Not Dream of Bunny Girl Senpai","1","Season"
"The Creative Indians","1","Season"
"The Piano","121","min"
"Unroyal","97","min"
"Winx Club","2","Seasons"
"Beckett","110","min"
"Brand New Cherry Flavor","1","Season"
"Fast & Furious Spy Racers","5","Seasons"
"Gone for Good","1","Season"
"Grace and Frankie","7","Seasons"
"The Kingdom","1","Season"
"Valeria","2","Seasons"
"AlRawabi School for Girls","1","Season"
"Lokillo: Nothing's the Same","64","min"
"Monster Hunter: Legends of the Guild","59","min"
"Bake Squad","1","Season"
"Brother Jekwu","101","min"
"La diosa del asfalto","127","min"
"Misha and the Wolves","90","min"
"The Kissing Booth 3","114","min"
"The Railway Man","108","min"
"Gabby's Dollhouse","2","Seasons"
"I Need Romance","1","Season"
"Las muñecas de la mafia","1","Season"
"The Crowned Clown","1","Season"
"Untold: Malice at the Palace","70","min"
"SHAMAN KING","1","Season"
"Quartet","98","min"
"Slay","86","min"
"Takizawa Kabuki ZERO 2020 The Movie","139","min"
"The Paper Tigers","111","min"
"Hit & Run","1","Season"
"Navarasa","1","Season"
"Quam's Money","115","min"
"The Swarm","102","min"
"Vivo","100","min"
"Chennai Express","135","min"
"City of God: 10 Years Later","69","min"
"Esperando la carroza","95","min"
"Lady Boss: The Jackie Collins Story","97","min"
"Tango Feroz","124","min"
"'76","118","min"
"Aftermath","115","min"
"American Masters: Inventing David Geffen","115","min"
"Car Masters: Rust to Riches","3","Seasons"
"Cocaine Cowboys: The Kings of Miami","1","Season"
"Control Z","2","Seasons"
"Cooking With Paris","1","Season"
"Autumn's Concerto","1","Season"
"Heavy","104","min"
"Ije: The Journey","106","min"
"Office Girls","1","Season"
"Pray Away","102","min"
"Shiny_Flakes: The Teenage Drug Lord","97","min"
"The Prince Who Turns into a Frog","1","Season"
"Top Secret UFO Projects: Declassified","1","Season"
"Two Fathers","1","Season"
"You're My Destiny","1","Season"
"30 Rock","7","Seasons"
"44 Cats","3","Seasons"
"Beethoven","87","min"
"Beethoven's 2nd","88","min"
"Beowulf","114","min"
"Boyka: Undisputed","90","min"
"Catch Me If You Can","142","min"
"Cloudy with a Chance of Meatballs","90","min"
"Darwin’s Game","1","Season"
"Deep Blue Sea","105","min"
"Ferris Bueller's Day Off","103","min"
"Five Feet Apart","116","min"
"Freedomland","113","min"
"Friday Night Lights","5","Seasons"
"Good Luck Chuck","99","min"
"Hunter X Hunter (2011)","6","Seasons"
"I missed you: Director's Cut","96","min"
"Inception","148","min"
"Magnolia","189","min"
"Major Payne","97","min"
"My Girl","102","min"
"My Girl 2","99","min"
"Open Season: Scared Silly","85","min"
"Pineapple Express","112","min"
"Planet 51","91","min"
"Poms","91","min"
"Seabiscuit","141","min"
"Space Cowboys","130","min"
"Team America: World Police","98","min"
"The Edge of Seventeen","105","min"
"The Haunting in Connecticut 2: Ghosts of Georgia","101","min"
"The Last Boy Scout","105","min"
"The Lincoln Lawyer","118","min"
"The Losers","97","min"
"The Machinist","102","min"
"The Net","114","min"
"The Original Kings of Comedy","111","min"
"Valentine's Day","125","min"
"Charmed","3","Seasons"
"The Lost Café","76","min"
"The Vault","118","min"
"Centaurworld","1","Season"
"Eyes of a Thief","103","min"
"Glow Up","3","Seasons"
"I'm Glad I Did","114","min"
"Khawatir","1","Season"
"Myth & Mogul: John DeLorean","1","Season"
"Outer Banks","2","Seasons"
"Pomegranates and Myrrh","95","min"
"Rurouni Kenshin: The Beginning","138","min"
"The Last Mercenary","112","min"
"Flower Girl","94","min"
"Resort to Love","102","min"
"Transformers: War for Cybertron: Kingdom","1","Season"
"Bartkowiak","92","min"
"Fantastic Fungi","81","min"
"Tattoo Redo","1","Season"
"The Flash","7","Seasons"
"The Snitch Cartel: Origins","1","Season"
"All American","3","Seasons"
"Department","143","min"
"Hostage House","86","min"
"How to Sell Drugs Online (Fast)","3","Seasons"
"Mighty Express","4","Seasons"
"Mimi","132","min"
"Plastic Cup Boyz: Laughing My Mask Off!","1","Season"
"The Operative","117","min"
"The Walking Dead","10","Seasons"
"Wynonna Earp","4","Seasons"
"Django Unchained","165","min"
"A Second Chance:  Rivals!","91","min"
"African America","97","min"
"Bankrolled","97","min"
"Blood Red Sky","123","min"
"Feels Like Ishq","1","Season"
"Kingdom: Ashin of the North","94","min"
"Masters of the Universe: Revelation","1","Season"
"Revelations: The Masters of the Universe: Revelation Aftershow","1","Season"
"Sky Rojo","2","Seasons"
"The Last Letter From Your Lover","111","min"
"The Movies That Made Us","2","Seasons"
"9to5: The Story of a Movement","85","min"
"Chhota Bheem - Dinosaur World","65","min"
"Chhota Bheem - Neeli Pahaadi","64","min"
"Chhota Bheem & Ganesh","68","min"
"Chhota Bheem & Krishna: Mayanagari","67","min"
"Chhota Bheem & Krishna: Pataliputra- City of the Dead","66","min"
"Chhota Bheem And The Broken Amulet","64","min"
"Chhota Bheem And The Crown of Valhalla","64","min"
"Chhota Bheem and the Incan Adventure","65","min"
"Chhota Bheem and The ShiNobi Secret","64","min"
"Chhota Bheem Aur Hanuman","68","min"
"Chhota Bheem aur Krishna","68","min"
"Chhota Bheem aur Krishna vs Zimbara","64","min"
"Chhota Bheem in African Safari","62","min"
"Chhota Bheem Ka Roosi Romanch","63","min"
"Chhota Bheem: Bheem vs Aliens","69","min"
"Chhota Bheem: Dholakpur to Kathmandu","70","min"
"Chhota Bheem: Dus Pe Dus","63","min"
"Chhota Bheem: Journey to Petra","68","min"
"Chhota Bheem: Master of Shaolin","74","min"
"Chhota Bheem: The Rise of Kirmada","68","min"
"Chicago Med","5","Seasons"
"Cousins","99","min"
"Wannabe Courageous","90","min"
"Words Bubble Up Like Soda Pop","87","min"
"Sanitation Day","105","min"
"Sexy Beasts","1","Season"
"Too Hot to Handle: Brazil","1","Season"
"Trollhunters: Rise of the Titans","106","min"
"Milkwater","102","min"
"Okupas","1","Season"
"Touch Your Heart","1","Season"
"The Tambour of Retribution","91","min"
"Cosmic Sin","88","min"
"2 Weeks in Lagos","107","min"
"Deep","101","min"
"Explained","3","Seasons"
"Fear Street Part 3: 1666","114","min"
"Johnny Test","1","Season"
"La ley de Herodes","123","min"
"Naomi Osaka","1","Season"
"The Beguiled","94","min"
"The Book of Henry","105","min"
