"title","genre_name"
"Dick Johnson Is Dead","Documentaries"
"Blood & Water","International TV Shows"
"Blood & Water"," TV Dramas"
"Blood & Water"," TV Mysteries"
"Ganglands","Crime TV Shows"
"Ganglands"," International TV Shows"
"Ganglands"," TV Action & Adventure"
"Jailbirds New Orleans","Docuseries"
"Jailbirds New Orleans"," Reality TV"
"Kota Factory","International TV Shows"
"Kota Factory"," Romantic TV Shows"
"Kota Factory"," TV Comedies"
"Midnight Mass","TV Dramas"
"Midnight Mass"," TV Horror"
"Midnight Mass"," TV Mysteries"
"My Little Pony: A New Generation","Children & Family Movies"
"Sankofa","Dramas"
"Sankofa"," Independent Movies"
"Sankofa"," International Movies"
"The Great British Baking Show","British TV Shows"
"The Great British Baking Show"," Reality TV"
"The Starling","Comedies"
"The Starling"," Dramas"
"Vendetta: Truth, Lies and The Mafia","Crime TV Shows"
"Vendetta: Truth, Lies and The Mafia"," Docuseries"
"Vendetta: Truth, Lies and The Mafia"," International TV Shows"
"Bangkok Breaking","Crime TV Shows"
"Bangkok Breaking"," International TV Shows"
"Bangkok Breaking"," TV Action & Adventure"
"Je Suis Karl","Dramas"
"Je Suis Karl"," International Movies"
"Confessions of an Invisible Girl","Children & Family Movies"
"Confessions of an Invisible Girl"," Comedies"
"Crime Stories: India Detectives","British TV Shows"
"Crime Stories: India Detectives"," Crime TV Shows"
"Crime Stories: India Detectives"," Docuseries"
"Dear White People","TV Comedies"
"Dear White People"," TV Dramas"
"Europe's Most Dangerous Man: Otto Skorzeny in Spain","Documentaries"
"Europe's Most Dangerous Man: Otto Skorzeny in Spain"," International Movies"
"Falsa identidad","Crime TV Shows"
"Falsa identidad"," Spanish-Language TV Shows"
"Falsa identidad"," TV Dramas"
"Intrusion","Thrillers"
"Jaguar","International TV Shows"
"Jaguar"," Spanish-Language TV Shows"
"Jaguar"," TV Action & Adventure"
"Monsters Inside: The 24 Faces of Billy Milligan","Crime TV Shows"
"Monsters Inside: The 24 Faces of Billy Milligan"," Docuseries"
"Monsters Inside: The 24 Faces of Billy Milligan"," International TV Shows"
"Resurrection: Ertugrul","International TV Shows"
"Resurrection: Ertugrul"," TV Action & Adventure"
"Resurrection: Ertugrul"," TV Dramas"
"Avvai Shanmughi","Comedies"
"Avvai Shanmughi"," International Movies"
"Go! Go! Cory Carson: Chrissy Takes the Wheel","Children & Family Movies"
"Jeans","Comedies"
"Jeans"," International Movies"
"Jeans"," Romantic Movies"
"Love on the Spectrum","Docuseries"
"Love on the Spectrum"," International TV Shows"
"Love on the Spectrum"," Reality TV"
"Minsara Kanavu","Comedies"
"Minsara Kanavu"," International Movies"
"Minsara Kanavu"," Music & Musicals"
"Grown Ups","Comedies"
"Dark Skies","Horror Movies"
"Dark Skies"," Sci-Fi & Fantasy"
"Paranoia","Thrillers"
"Ankahi Kahaniya","Dramas"
"Ankahi Kahaniya"," Independent Movies"
"Ankahi Kahaniya"," International Movies"
"Chicago Party Aunt","TV Comedies"
"Sex Education","British TV Shows"
"Sex Education"," International TV Shows"
"Sex Education"," TV Comedies"
"Squid Game","International TV Shows"
"Squid Game"," TV Dramas"
"Squid Game"," TV Thrillers"
