"title","type","director","cast","country","rating","listed_in","date_added_formatted","duration_value","duration_unit"
"dick johnson is dead","movie","kirsten johnson","unknown","united states","pg-13","documentaries","2021-09-25","90","min"
"blood & water","tv show","unknown","ama qamata, khosi ngema, gail mabalane, thabang molaba, dillon windvogel, natasha thahane, arno greeff, xolile tshabalala, getmore sithole, cindy mahlangu, ryle de morny, greteli fincham, sello maake ka-ncube, odwa gwanya, mekaila mathys, sandi schultz, duane williams, shamilla miller, patrick mofokeng","south africa","tv-ma","international tv shows, tv dramas, tv mysteries","2021-09-24","2","Seasons"
"ganglands","tv show","julien leclercq","sami bouajila, tracy gotoas, samuel jouy, nabiha akkari, sofia lesaffre, salim kechiouche, noureddine farihi, geert van rampelberg, bakary diombera","unknown","tv-ma","crime tv shows, international tv shows, tv action & adventure","2021-09-24","1","Season"
"jailbirds new orleans","tv show","unknown","unknown","unknown","tv-ma","docuseries, reality tv","2021-09-24","1","Season"
"kota factory","tv show","unknown","mayur more, jitendra kumar, ranjan raj, alam khan, ahsaas channa, revathi pillai, urvi singh, arun kumar","india","tv-ma","international tv shows, romantic tv shows, tv comedies","2021-09-24","2","Seasons"
"midnight mass","tv show","mike flanagan","kate siegel, zach gilford, hamish linklater, henry thomas, kristin lehman, samantha sloyan, igby rigney, rahul kohli, annarah cymone, annabeth gish, alex essoe, rahul abburi, matt biedel, michael trucco, crystal balint, louis oliver","unknown","tv-ma","tv dramas, tv horror, tv mysteries","2021-09-24","1","Season"
"my little pony: a new generation","movie","robert cullen, josé luis ucha","vanessa hudgens, kimiko glenn, james marsden, sofia carson, liza koshy, ken jeong, elizabeth perkins, jane krakowski, michael mckean, phil lamarr","unknown","pg","children & family movies","2021-09-24","91","min"
"sankofa","movie","haile gerima","kofi ghanaba, oyafunmike ogunlano, alexandra duah, nick medley, mutabaruka, afemo omilami, reggie carter, mzuri","united states, ghana, burkina faso, united kingdom, germany, ethiopia","tv-ma","dramas, independent movies, international movies","2021-09-24","125","min"
"the great british baking show","tv show","andy devonshire","mel giedroyc, sue perkins, mary berry, paul hollywood","united kingdom","tv-14","british tv shows, reality tv","2021-09-24","9","Seasons"
"the starling","movie","theodore melfi","melissa mccarthy, chris o'dowd, kevin kline, timothy olyphant, daveed diggs, skyler gisondo, laura harrier, rosalind chao, kimberly quinn, loretta devine, ravi kapoor","united states","pg-13","comedies, dramas","2021-09-24","104","min"
"vendetta: truth, lies and the mafia","tv show","unknown","unknown","unknown","tv-ma","crime tv shows, docuseries, international tv shows","2021-09-24","1","Season"
"bangkok breaking","tv show","kongkiat komesiri","sukollawat kanarot, sushar manaying, pavarit mongkolpisit, sahajak boonthanakit, suthipongse thatphithakkul, bhasaworn bawronkirati, daweerit chullasapya, waratthaya wongchayaporn, kittiphoom wongpentak, abhicha thanachanun, nophand boonyai, kittipong khamsat, arisara wongchalee, jaytiya naiwattanakul, pantipa arunwattanachai, panupan jantanawong, kungtap saelim, phumphat chartsuriyakiat, issara veranitinunt, keerati sivakuae, panjai sirisuwan, supranee charoenpol, suda chuenban, visaka banhansupavat, pitchatorn santinatornkul","unknown","tv-ma","crime tv shows, international tv shows, tv action & adventure","2021-09-23","1","Season"
"je suis karl","movie","christian schwochow","luna wedler, jannis niewöhner, milan peschel, edin hasanović, anna fialová, marlon boess, victor boccard, fleur geffrier, aziz dyab, mélanie fouché, elizaveta maximová","germany, czech republic","tv-ma","dramas, international movies","2021-09-23","127","min"
"confessions of an invisible girl","movie","bruno garotti","klara castanho, lucca picon, júlia gomes, marcus bessa, kiria malheiros, fernanda concon, gabriel lima, caio cabral, leonardo cidade, jade cardozo","unknown","tv-pg","children & family movies, comedies","2021-09-22","91","min"
"crime stories: india detectives","tv show","unknown","unknown","unknown","tv-ma","british tv shows, crime tv shows, docuseries","2021-09-22","1","Season"
"dear white people","tv show","unknown","logan browning, brandon p. bell, deron horton, antoinette robertson, john patrick amedori, ashley blaine featherson, marque richardson, giancarlo esposito","united states","tv-ma","tv comedies, tv dramas","2021-09-22","4","Seasons"
"europe's most dangerous man: otto skorzeny in spain","movie","pedro de echave garcía, pablo azorín williams","unknown","unknown","tv-ma","documentaries, international movies","2021-09-22","67","min"
"falsa identidad","tv show","unknown","luis ernesto franco, camila sodi, sergio goyri, samadhi zendejas, eduardo yáñez, sonya smith, alejandro camacho, azela robinson, uriel del toro, géraldine bazán, gabriela roel, marcus ornellas","mexico","tv-ma","crime tv shows, spanish-language tv shows, tv dramas","2021-09-22","2","Seasons"
"intrusion","movie","adam salky","freida pinto, logan marshall-green, robert john burke, megan elisabeth kelly, sarah minnich, hayes hargrove, mark sivertsen, brandon fierro, antonio valles, clint obenchain","unknown","tv-14","thrillers","2021-09-22","94","min"
